ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,PROMEDIO_AREAS,DESVIACION_AREAS,BRECHA_MEJOR_PEOR,MEJOR_AREA,PEOR_AREA,TIENE_INTERNET_Y_TV,INDICE_RECURSOS_HOGAR,DEDICACION_TOTAL_MIN,ZONA_RURAL,NIVEL_INGLES,Z_LECTURA_CRITICA,Z_MATEMATICAS,Z_C_NATURALES,Z_SOCIALES_CIUDADANAS,Z_INGLES,NIVEL_DESEMPENO_GLOBAL,PERCENTIL_GLOBAL,RATIO_LECTURA_MATEMATICAS,GRUPO_ESTRATO
0,12,0,0,0,0,2,15,0,1,23,34,30,36,34.0,155,31.4,5.176871642217914,13.0,PUNT_SOCIALES_CIUDADANAS,PUNT_LECTURA_CRITICA,0,0,15,1,bajo,-3.000167142235211,-1.430383305801843,-1.934248218300204,-1.0639660570956448,-1.5210411652350861,Bajo,0.46666666666666673,0.6764705882352942,bajo
1,9,1,0,1,0,1,0,0,1,48,54,61,57,62.0,278,56.4,5.683308895353129,14.0,PUNT_INGLES,PUNT_LECTURA_CRITICA,0,1,0,1,alto,-0.4938455972281846,0.25957806683738577,1.0305321538842407,0.6812396708002525,0.9263299775405954,Medio,67.80000000000001,0.8888888888888888,bajo
1,2,2,1,1,1,1,0,120,0,53,47,49,35,53.0,233,47.4,7.402702209328699,18.0,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,1,3,120,0,medio,0.007418711773220604,-0.33190841358634426,-0.11712476438070567,-1.1470710917573543,0.13967496736269774,Bajo,37.96666666666667,1.127659574468085,medio
0,14,3,1,1,1,1,15,120,0,45,43,48,50,52.0,235,47.6,3.646916505762094,9.0,PUNT_INGLES,PUNT_MATEMATICAS,1,3,135,0,medio,-0.7946041826290278,-0.66990068811419,-0.21276284090278455,0.09950442816828668,0.05226885512070911,Bajo,39.56666666666667,1.0465116279069768,medio
1,31,2,1,1,0,1,45,180,0,53,61,61,57,58.0,290,58.0,3.3166247903554,8.0,PUNT_MATEMATICAS,PUNT_LECTURA_CRITICA,1,2,225,0,medio,0.007418711773220604,0.8510645472611158,1.0305321538842407,0.6812396708002525,0.5767055285726409,Medio,75.23333333333333,0.8688524590163934,medio
0,12,1,1,1,0,1,15,45,0,54,54,52,53,55.0,267,53.6,1.1401754250991378,3.0,PUNT_INGLES,PUNT_C_NATURALES,1,2,60,0,medio,0.10767157357350166,0.25957806683738577,0.16978946518553092,0.3488195321534149,0.314487191846675,Medio,60.3,1.0,bajo
1,13,2,1,1,1,1,45,120,0,50,52,50,36,43.0,233,46.2,6.648308055437864,16.0,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,1,3,165,0,medio,-0.29333987362762254,0.0905819295734629,-0.02148668785862681,-1.0639660570956448,-0.7343861550571885,Bajo,37.96666666666667,0.9615384615384616,medio
0,2,1,1,0,1,0,90,180,0,59,62,50,59,59.0,288,57.8,4.54972526643093,12.0,PUNT_MATEMATICAS,PUNT_C_NATURALES,0,2,270,0,medio,0.6089358825749068,0.9355626158930772,-0.02148668785862681,0.8474497401236712,0.6641116408146295,Medio,74.4,0.9516129032258065,bajo
0,4,2,1,1,1,2,90,45,0,35,36,29,32,35.0,166,33.4,2.8809720581775866,7.0,PUNT_MATEMATICAS,PUNT_C_NATURALES,1,3,135,0,bajo,-1.7971328006318381,-1.26138716853792,-2.029886294822283,-1.3963861957424824,-1.4336350529930975,Bajo,2.3,0.9722222222222222,medio
0,15,4,1,1,1,1,0,180,0,70,73,63,74,84.0,355,72.8,7.5960516059331775,21.0,PUNT_INGLES,PUNT_C_NATURALES,1,3,180,0,alto,1.7117173623779984,1.865041370844653,1.2218083069283985,2.094025260049312,2.8492644468643453,Superior,97.86666666666667,0.958904109589041,alto
1,23,3,1,1,0,1,15,45,0,57,49,43,52,57.0,254,51.6,5.8991524815010505,14.0,PUNT_LECTURA_CRITICA,PUNT_C_NATURALES,1,2,60,0,medio,0.4084301589743448,-0.16291227632242142,-0.6909532235131789,0.26571449749170545,0.48929941633065227,Medio,51.9,1.163265306122449,medio
0,15,2,1,1,1,1,45,180,0,50,52,44,35,56.0,230,47.4,8.17312669668102,21.0,PUNT_INGLES,PUNT_SOCIALES_CIUDADANAS,1,3,225,0,medio,-0.29333987362762254,0.0905819295734629,-0.5953151469911,-1.1470710917573543,0.40189330408866364,Bajo,35.333333333333336,0.9615384615384616,medio
1,31,3,1,1,1,1,45,45,0,51,42,40,47,49.0,227,45.8,4.658325879540847,11.0,PUNT_LECTURA_CRITICA,PUNT_C_NATURALES,1,3,90,0,medio,-0.19308701182734148,-0.7543987567461514,-0.9778674530794155,-0.14981067581684152,-0.20994948160525678,Bajo,33.0,1.2142857142857142,medio
0,15,2,1,1,1,1,45,180,0,59,61,63,54,63.0,298,60.0,3.7416573867739413,9.0,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,1,3,225,0,alto,0.6089358825749068,0.8510645472611158,1.2218083069283985,0.43192456681512426,1.013736089782584,Medio,79.63333333333334,0.9672131147540983,medio
0,2,1,0,0,0,1,15,45,0,40,23,35,37,39.0,171,34.8,6.870225614927066,17.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,0,0,60,0,bajo,-1.295868491630433,-2.359862060753419,-1.4560578356898097,-0.9808610224339355,-1.084010604025143,Bajo,3.266666666666666,1.7391304347826086,bajo
0,6,2,1,1,1,1,45,120,0,74,84,64,76,62.0,368,72.0,9.055385138137417,22.0,PUNT_MATEMATICAS,PUNT_INGLES,1,3,165,0,alto,2.1127288095791226,2.794520125796229,1.3174463834504773,2.260235329372731,0.9263299775405954,Superior,98.8,0.8809523809523809,medio
1,15,3,1,0,1,0,45,45,0,51,28,38,34,46.0,192,39.4,9.20869154657707,23.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,0,2,90,0,medio,-0.19308701182734148,-1.9373717175936116,-1.1691436061235732,-1.2301761264190636,-0.4721678183312227,Bajo,11.166666666666666,1.8214285714285714,medio
0,30,1,0,0,0,1,15,180,0,40,33,42,39,31.0,190,37.0,4.743416490252569,11.0,PUNT_C_NATURALES,PUNT_INGLES,0,0,195,0,bajo,-1.295868491630433,-1.5148813744338043,-0.7865913000352577,-0.8146509531105167,-1.783259501961052,Bajo,9.966666666666667,1.2121212121212122,bajo
